EmployeeNumber,Age,DailyRate,DistanceFromHome,EmployeeCount,HourlyRate,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,StandardHours,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Education,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,RelationshipSatisfaction,StockOptionLevel,WorkLifeBalance,BusinessTravel,Department,EducationField,Gender,JobRole,MaritalStatus,Over18,OverTime,Attrition
1,41.0,1102.0,1.0,1.0,94.0,5993.0,19479.0,8.0,11.0,3.0,80.0,8.0,0.0,6.0,4.0,0.0,5.0,2,2,3,2,4,1,0,1,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Single,Y,Yes,1
2,49.0,279.0,8.0,1.0,61.0,5130.0,24907.0,1.0,23.0,4.0,80.0,10.0,3.0,10.0,7.0,1.0,7.0,1,3,2,2,2,4,1,3,Travel_Frequently,Research & Development,Life Sciences,Male,Research Scientist,Married,Y,No,0
4,37.0,1373.0,2.0,1.0,92.0,2090.0,2396.0,6.0,15.0,3.0,80.0,7.0,3.0,0.0,0.0,0.0,0.0,2,4,2,1,3,2,0,3,Travel_Rarely,Research & Development,Other,Male,Laboratory Technician,Single,Y,Yes,1
5,33.0,1392.0,3.0,1.0,56.0,2909.0,23159.0,1.0,11.0,3.0,80.0,8.0,3.0,8.0,7.0,3.0,0.0,4,4,3,1,3,3,0,3,Travel_Frequently,Research & Development,Life Sciences,Female,Research Scientist,Married,Y,Yes,0
7,27.0,591.0,2.0,1.0,40.0,3468.0,16632.0,9.0,12.0,3.0,80.0,6.0,3.0,2.0,2.0,2.0,2.0,1,1,3,1,2,4,1,3,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Married,Y,No,0
8,32.0,1005.0,2.0,1.0,79.0,3068.0,11864.0,0.0,13.0,3.0,80.0,8.0,2.0,7.0,7.0,3.0,6.0,2,4,3,1,4,3,0,2,Travel_Frequently,Research & Development,Life Sciences,Male,Laboratory Technician,Single,Y,No,0
10,59.0,1324.0,3.0,1.0,81.0,2670.0,9964.0,4.0,20.0,4.0,80.0,12.0,3.0,1.0,0.0,0.0,0.0,3,3,4,1,1,1,3,2,Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Married,Y,Yes,0
11,30.0,1358.0,24.0,1.0,67.0,2693.0,13335.0,1.0,22.0,4.0,80.0,1.0,2.0,1.0,0.0,0.0,0.0,1,4,3,1,3,2,1,3,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Divorced,Y,No,0
12,38.0,216.0,23.0,1.0,44.0,9526.0,8787.0,0.0,21.0,4.0,80.0,10.0,2.0,9.0,7.0,1.0,8.0,3,4,2,3,3,2,0,3,Travel_Frequently,Research & Development,Life Sciences,Male,Manufacturing Director,Single,Y,No,0
13,36.0,1299.0,27.0,1.0,94.0,5237.0,16577.0,6.0,13.0,3.0,80.0,17.0,3.0,7.0,7.0,7.0,7.0,3,3,3,2,3,2,2,2,Travel_Rarely,Research & Development,Medical,Male,Healthcare Representative,Married,Y,No,0
14,35.0,809.0,16.0,1.0,84.0,2426.0,16479.0,0.0,13.0,3.0,80.0,6.0,5.0,5.0,4.0,0.0,3.0,3,1,4,1,2,3,1,3,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Married,Y,No,0
15,29.0,153.0,15.0,1.0,49.0,4193.0,12682.0,0.0,12.0,3.0,80.0,10.0,3.0,9.0,5.0,0.0,8.0,2,4,2,2,3,4,0,3,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Single,Y,Yes,0
16,31.0,670.0,26.0,1.0,31.0,2911.0,15170.0,1.0,17.0,3.0,80.0,5.0,1.0,5.0,2.0,4.0,3.0,1,1,3,1,3,4,1,2,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Divorced,Y,No,0
18,34.0,1346.0,19.0,1.0,93.0,2661.0,8758.0,0.0,11.0,3.0,80.0,3.0,2.0,2.0,2.0,1.0,2.0,2,2,3,1,4,3,1,3,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Divorced,Y,No,0
19,28.0,103.0,24.0,1.0,50.0,2028.0,12947.0,5.0,14.0,3.0,80.0,6.0,4.0,4.0,2.0,0.0,3.0,3,3,2,1,3,2,0,3,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Single,Y,Yes,1
20,29.0,1389.0,21.0,1.0,51.0,9980.0,10195.0,1.0,11.0,3.0,80.0,10.0,1.0,10.0,9.0,8.0,8.0,4,2,4,3,1,3,1,3,Travel_Rarely,Research & Development,Life Sciences,Female,Manufacturing Director,Divorced,Y,No,0
